acft_type;acft_cat;in_block_hour;off_block_hour;total_time;turnaround _type;turnaround_qualifier;tow_type
A332;E;5;22;1012;II;JJ;3
B738;C;5;10;298;II;JJ;1
B772;E;5;14;562;II;JJ;3
B77W;E;5;23;1082;II;JJ;3
B738;C;5;9;256;DD;JJ;1
A343;E;5;15;603;II;JJ;3
B77W;E;5;23;1057;II;JJ;3
A332;E;5;8;154;II;JJ;1
B76W;D;5;22;1002;II;JJ;3
A332;E;5;0;1096;II;JJ;3
A343;E;5;18;752;II;JJ;3
A320;C;5;8;135;DD;JJ;1
B738;C;6;6;48;DD;JJ;1
B77W;E;6;15;569;II;JJ;3
A346;E;6;15;528;II;JJ;3
A321;C;6;11;300;DD;JJ;2
A321;C;6;9;199;DD;JJ;2
B738;C;6;12;345;II;JJ;1
A346;E;6;16;606;II;JJ;3
B737;C;6;9;147;DD;JG;1
B738;C;6;11;255;DI;JJ;1
AT72;C;6;8;71;DD;JJ;1
A320;C;6;8;105;DD;JJ;1
B738;C;7;9;123;DD;JJ;1
B77W;E;7;20;801;II;JJ;3
B738;C;7;9;154;DD;JJ;1
A319;C;7;12;317;DD;JJ;2
A320;C;7;9;125;DD;JJ;1
B738;C;7;11;214;ID;JJ;2
A321;C;7;10;165;DD;JJ;1
B737;C;8;10;125;DD;JJ;1
A320;C;8;11;168;II;JJ;1
B737;C;8;10;136;DD;JJ;1
B764;D;8;21;746;II;JJ;3
B738;C;8;9;57;DD;JJ;1
B738;C;8;10;81;DD;JJ;1
B76W;D;8;10;107;II;JJ;1
B77W;E;8;11;140;II;JJ;1
B763;D;9;21;725;II;JJ;3
A321;C;9;10;95;DD;JJ;1
A320;C;9;10;71;DD;JJ;1
B737;C;9;10;45;DD;JJ;1
E190;C;9;12;184;DD;JJ;1
B738;C;9;11;132;DI;JJ;1
A320;C;9;11;97;II;JJ;1
B738;C;9;10;58;II;JJ;1
B738;C;9;10;84;ID;JJ;1
B738;C;9;12;161;DI;JJ;1
A321;C;9;12;176;DD;JJ;1
A320;C;9;17;461;II;JJ;2
A320;C;9;11;94;DD;JJ;1
B737;C;9;10;61;DD;JJ;1
A321;C;9;13;228;DD;JJ;1
B738;C;9;11;120;DD;JJ;1
B738;C;10;11;68;DI;JJ;1
A320;C;10;11;50;DD;JJ;1
AT72;C;10;10;35;DD;SJ;1
B737;C;10;11;61;DD;JG;1
E190;C;10;11;37;DD;JJ;1
A321;C;10;15;289;DD;JJ;1
B738;C;10;11;43;DD;JJ;1
AT72;C;10;12;111;DD;JJ;1
B737;C;10;12;133;DD;JJ;1
B738;C;10;12;70;DD;JJ;1
B772;E;10;22;720;II;JJ;3
A320;C;10;12;106;II;JJ;1
A320;C;11;13;141;DD;JJ;1
A321;C;11;12;68;DD;JJ;1
E190;C;11;12;62;DD;JJ;1
A321;C;11;16;336;DD;JJ;2
B737;C;11;12;57;DD;JJ;1
A320;C;11;15;268;DD;GJ;1
B738;C;11;12;83;II;JJ;1
A320;C;11;12;88;DD;JJ;1
E190;C;11;13;127;DD;JJ;1
E190;C;11;13;87;DD;JJ;1
B738;C;11;12;49;DD;JJ;1
A320;C;11;12;72;DD;JJ;1
AT72;C;11;12;54;DD;JJ;1
B788;E;11;16;285;II;JJ;1
A320;C;11;13;77;DD;JJ;1
A321;C;12;17;325;DD;JJ;2
AT72;C;12;13;106;DD;JJ;1
B737;C;12;13;68;DD;GJ;1
AT72;C;12;15;172;DD;JJ;1
B738;C;12;14;103;DD;JJ;1
A320;C;12;13;41;DD;JJ;1
B738;C;12;13;49;DD;JJ;1
B738;C;12;14;135;DD;JJ;1
B738;C;12;13;63;DD;JJ;1
A320;C;12;15;155;DD;JJ;1
A320;C;12;18;324;DI;JJ;1
A320;C;12;14;91;DD;JJ;1
B738;C;12;13;59;DD;JJ;1
B738;C;13;14;53;DD;JJ;1
E190;C;13;16;187;DD;JJ;1
B737;C;13;14;62;DD;JJ;1
B738;C;13;14;44;DD;JJ;1
E190;C;13;14;44;DD;JJ;1
B738;C;13;14;52;DD;JJ;1
A321;C;13;16;160;DD;JJ;1
A320;C;13;17;234;II;JJ;1
A320;C;13;16;162;DD;JG;1
E190;C;13;18;294;DD;JJ;1
A318;C;13;15;90;DD;JJ;1
A320;C;13;15;98;DD;JJ;1
A320;C;13;14;67;DD;JJ;1
A320;C;13;14;55;II;JG;1
B737;C;13;15;90;DD;JJ;1
AT72;C;13;14;35;DD;JJ;1
B737;C;13;15;62;DD;JJ;1
A320;C;13;15;85;DD;JJ;1
A321;C;14;15;87;DD;JJ;1
A318;C;14;14;47;DD;JJ;1
B738;C;14;15;64;DD;GJ;1
A320;C;14;15;89;DD;JJ;1
B738;C;14;15;62;DD;JG;1
B737;C;14;15;83;II;JJ;1
B737;C;14;15;82;DD;JJ;1
B738;C;14;15;80;DD;JJ;1
A332;E;14;17;206;II;JJ;1
A320;C;14;15;69;DD;JJ;1
B737;C;14;17;168;DD;JJ;1
B738;C;14;16;97;ID;JJ;1
A320;C;14;16;81;DD;JJ;1
A320;C;14;22;446;II;JJ;2
A320;C;14;17;129;DD;JJ;1
A319;C;15;16;62;DD;JJ;1
B738;C;15;15;47;DD;JJ;1
B738;C;15;15;43;DD;JJ;1
B738;C;15;16;59;DD;JJ;1
B763;D;15;19;262;II;JJ;3
B738;C;15;17;104;DD;JJ;1
B738;C;15;16;42;DD;JJ;1
B737;C;15;21;377;DD;JJ;2
A321;C;15;18;135;DD;JJ;1
B773;E;15;0;490;II;JJ;3
B737;C;16;17;63;DD;JG;1
B738;C;16;18;132;DD;JJ;1
B738;C;16;17;57;DD;JJ;1
E190;C;16;17;107;DD;JJ;1
B738;C;16;18;152;ID;JJ;2
B77L;E;16;17;92;II;JJ;1
A320;C;16;17;67;DD;JJ;1
A320;C;16;17;78;DD;JJ;1
A320;C;16;19;195;DD;JJ;1
B738;C;16;17;48;DD;JJ;1
A320;C;16;17;54;DD;JJ;1
E190;C;16;17;39;DD;JJ;1
B738;C;16;20;199;ID;JJ;1
A320;C;16;18;86;DD;JJ;1
B77W;E;17;18;87;II;JJ;1
B737;C;17;17;49;DD;JG;1
A320;C;17;18;56;DD;JJ;1
A321;C;17;19;117;DD;JJ;1
AT72;C;17;18;105;DD;JJ;1
B738;C;17;18;79;DI;JJ;1
A320;C;17;18;90;II;JJ;1
AT72;C;17;17;27;DD;JJ;1
B772;E;17;19;108;II;JJ;1
E190;C;17;9;974;DD;JJ;1
A332;E;17;18;87;II;JJ;1
B738;C;17;18;72;DD;JJ;1
E190;C;17;18;66;DD;JJ;1
B772;E;17;20;148;II;JJ;1
B738;C;17;18;41;ID;JJ;1
B737;C;17;19;104;DD;JJ;1
B772;E;17;19;98;II;JJ;1
A346;E;17;22;314;II;JJ;3
B738;C;17;19;107;ID;JJ;1
B738;C;17;19;91;ID;JJ;1
B738;C;17;19;77;DD;JJ;1
E190;C;17;18;60;DD;JJ;1
AT72;C;17;18;31;DD;JJ;1
A321;C;17;19;115;DD;JJ;1
B738;C;18;19;63;DD;JJ;1
A320;C;18;19;73;II;JJ;1
A320;C;18;19;76;DD;JJ;1
B738;C;18;19;70;DD;JJ;1
E190;C;18;18;40;DD;JJ;1
A321;C;18;20;99;DD;JJ;1
A321;C;18;19;84;DD;JJ;1
B738;C;18;19;76;ID;JJ;1
B737;C;18;19;56;II;JJ;1
A320;C;18;20;110;II;JJ;1
B738;C;18;19;76;DD;JJ;1
B738;C;18;20;83;DD;JJ;1
A320;C;18;19;67;DD;JJ;1
B738;C;18;21;149;DD;JG;1
A321;C;18;19;64;DD;JJ;1
A320;C;18;19;54;DD;JJ;1
A320;C;18;21;147;II;JJ;1
B738;C;19;20;65;DD;JJ;1
B738;C;19;20;82;DD;JJ;1
A320;C;19;21;158;DD;JJ;1
B737;C;19;21;121;DD;JJ;1
A320;C;19;20;73;DD;JJ;1
B738;C;19;21;150;DD;JJ;2
B738;C;19;20;64;DD;JJ;1
B77W;E;19;22;196;II;JJ;1
B738;C;19;20;92;II;JJ;1
E190;C;19;9;812;DD;JJ;1
B737;C;19;20;49;DD;JJ;1
AT72;C;19;20;26;DD;JJ;1
A332;E;19;23;230;II;JJ;1
A320;C;19;23;213;DD;JJ;1
B738;C;19;20;64;DD;JJ;1
B738;C;19;21;97;DD;JJ;1
A320;C;19;22;172;DD;JJ;1
B76W;D;19;22;181;II;JJ;1
E190;C;19;8;759;DD;JJ;1
A320;C;20;22;142;ID;JJ;1
A321;C;20;22;141;DD;JJ;1
B738;C;20;20;55;DI;JJ;1
A320;C;20;22;144;II;JJ;1
B738;C;20;22;118;DI;JJ;1
B76W;D;20;23;225;II;JJ;2
B77W;E;20;22;153;II;JJ;1
B738;C;20;23;199;DD;JJ;1
B738;C;20;1;308;II;JJ;1
A320;C;20;23;162;DD;GJ;1
A321;C;20;21;78;DD;JJ;1
AT72;C;20;21;55;DD;JJ;1
A320;C;20;22;128;DD;JJ;1
E190;C;20;9;793;DD;JJ;1
A319;C;20;23;197;DD;JJ;1
A321;C;20;7;663;DD;JJ;1
B738;C;20;21;46;DD;JJ;1
A321;C;20;23;149;DD;JJ;1
A320;C;20;21;48;DD;JJ;1
A321;C;20;23;153;DD;JJ;1
A332;E;20;22;107;II;JJ;1
A320;C;20;22;87;DD;JJ;1
A320;C;20;22;91;DD;JJ;1
B738;C;20;23;144;DD;JJ;1
A320;C;21;23;138;DD;JJ;1
A321;C;21;0;190;DD;JJ;1
B76W;D;21;8;663;DI;JJ;2
A320;C;21;7;597;II;GJ;2
B738;C;21;23;102;DD;JJ;1
AT72;C;21;21;33;DD;JJ;1
A320;C;21;5;474;II;JJ;2
AT72;C;21;22;65;DD;JJ;1
A320;C;21;22;57;DD;JJ;1
B738;C;21;22;60;DD;JJ;1
A321;C;21;8;645;DD;JJ;1
B738;C;21;23;99;DD;JJ;1
A320;C;21;3;361;II;JJ;2
B737;C;22;22;33;DD;JJ;1
B737;C;22;23;55;DD;JJ;1
B738;C;22;23;80;DD;JJ;1
A320;C;22;7;567;DI;JS;2
A320;C;22;0;111;DD;JJ;1
A318;C;22;4;379;DD;JJ;1
B737;C;22;5;411;II;JJ;3
B738;C;22;6;448;DD;JJ;1
E190;C;22;6;458;DD;JJ;1
B738;C;22;1;138;DI;JJ;1
B737;C;23;0;79;DD;JJ;1
A321;C;23;8;566;DD;JJ;2
A320;C;23;7;527;DD;JJ;2
B738;C;23;0;90;DD;JJ;1
B738;C;23;23;47;DD;JJ;1
A321;C;23;7;461;DD;JJ;1
A320;C;23;7;510;DD;JJ;2
A319;C;23;1;113;II;JJ;1
B738;C;23;5;379;DD;JJ;1
A320;C;23;7;462;DD;JJ;1
A320;C;23;6;417;DD;JJ;1
A320;C;23;7;467;DD;JJ;1
B738;C;23;6;392;DD;JJ;1
A320;C;0;7;457;II;JJ;2
A320;C;0;6;367;DD;JJ;1
A320;C;0;7;463;II;JJ;1
B738;C;0;3;188;II;JJ;1
B738;C;0;7;421;ID;JJ;2
A318;C;1;6;320;DD;JJ;1
B77W;E;1;3;148;II;JJ;1
B77L;E;1;2;88;II;JJ;1
A321;C;1;3;75;DD;JJ;1
B738;C;3;5;134;II;JJ;1
A321;C;3;6;224;DD;JJ;1
A332;E;4;5;75;II;JJ;1
A320;C;4;6;94;DD;JJ;1
A320;C;4;8;249;II;JJ;1
B738;C;4;8;223;II;JJ;1
B77W;E;4;10;361;II;JJ;3
B748;F;4;18;802;II;JJ;3
B738;C;5;5;43;DD;JJ;1
B738;C;5;5;54;DD;JJ;1
B77W;E;5;7;147;II;JJ;1
A321;C;5;8;188;DD;JJ;1
B738;C;5;6;102;DD;JJ;1
A332;E;5;23;1089;II;JJ;3
B76W;D;5;14;553;II;JJ;3
B738;C;5;6;78;DD;JJ;1
B76W;D;5;23;1100;II;JJ;3
B77W;E;5;23;1073;II;JJ;3
A343;E;5;15;603;II;JJ;3
A332;E;5;8;156;II;JJ;1
A332;E;5;14;501;II;JJ;3
A343;E;5;18;757;II;JJ;3
B738;C;5;6;56;DD;JJ;1
B744;E;5;16;626;II;JJ;3
B77W;E;5;22;994;II;JJ;3
B77W;E;6;15;568;II;JJ;3
B738;C;6;7;104;DD;JJ;1
A321;C;6;9;210;DD;JJ;1
B77W;E;6;23;1019;II;JJ;3
A346;E;6;15;534;II;JJ;3
B738;C;6;12;362;II;JJ;3
A320;C;6;8;114;DD;JJ;1
B76W;D;6;10;244;II;JJ;2
A332;E;6;8;122;II;JJ;1
B738;C;6;7;52;DD;JJ;1
A320;C;6;8;136;DD;JJ;1
B738;C;6;8;93;DD;JJ;1
A321;C;6;8;119;DD;JJ;1
A321;C;6;8;133;DD;JJ;1
B738;C;6;7;74;DD;JJ;1
A320;C;6;9;157;DD;JJ;1
B738;C;6;7;60;ID;JJ;1
A320;C;6;8;84;DD;JJ;1
B76W;D;6;9;155;ID;JJ;1
B737;C;7;7;51;DD;JJ;1
B738;C;7;11;255;DI;JJ;2
A320;C;7;8;102;DD;JJ;1
A320;C;7;7;35;DD;JJ;1
B738;C;7;8;61;DD;SJ;1
B77W;E;7;11;226;II;JJ;1
A319;C;7;8;82;DD;JJ;1
A320;C;7;9;103;DD;JJ;1
A320;C;7;9;96;II;JJ;1
A320;C;7;8;29;DD;JJ;1
A321;C;7;8;77;DD;JJ;1
B738;C;7;8;39;DD;JJ;1
B737;C;8;8;34;DD;JJ;1
B772;E;8;15;414;II;JJ;3
B738;C;8;9;65;DD;JJ;1
B738;C;8;9;45;DD;JJ;1
B76W;D;8;22;839;II;JJ;3
A320;C;8;10;115;II;JS;1
AT72;C;8;9;43;DD;JJ;1
A320;C;8;9;43;DD;JJ;1
B738;C;8;10;96;DD;JJ;1
B738;C;8;9;46;DD;JJ;1
B737;C;8;9;58;DD;JJ;1
A321;C;8;10;111;DD;JJ;1
B738;C;9;10;65;DD;JJ;1
B737;C;9;9;42;DD;JJ;1
B738;C;9;10;80;DD;JJ;1
B737;C;9;10;48;DD;JJ;1
A320;C;9;10;56;DD;JJ;1
B738;C;9;10;84;DD;JJ;1
A320;C;9;10;40;DD;SJ;1
E190;C;9;10;47;DD;JJ;1
B738;C;9;10;63;DI;JJ;1
B737;C;9;10;59;DD;JJ;1
B738;C;9;10;51;DI;JJ;1
B738;C;9;10;42;ID;JJ;1
A321;C;9;10;54;DD;JJ;1
B738;C;9;10;68;DD;JJ;1
B738;C;9;11;88;ID;JJ;1
B77W;E;9;20;650;II;JJ;3
B77W;E;9;21;696;II;JJ;3
B738;C;9;10;60;DD;JJ;1
A320;C;9;11;69;II;JJ;1
B738;C;9;12;161;DD;JJ;2
E190;C;10;10;28;DD;JJ;1
A320;C;10;11;66;II;JJ;1
B737;C;10;11;55;II;JJ;1
AT72;C;10;10;21;DD;JJ;1
B738;C;10;11;52;DD;JJ;1
A321;C;10;11;50;DD;JJ;1
B738;C;10;11;45;DI;JJ;1
A320;C;10;11;92;DD;JJ;1
A320;C;10;11;43;DD;JJ;1
A321;C;10;11;46;DD;JJ;1
A320;C;10;11;50;DD;JJ;1
AT72;C;10;11;30;DD;JJ;1
E190;C;10;11;46;DD;JJ;1
B738;C;10;11;72;DD;JJ;1
E190;C;10;11;41;DD;JJ;1
B738;C;10;12;74;DD;JJ;1
A320;C;10;11;63;DD;JJ;1
B772;E;10;23;734;II;JJ;3
A320;C;10;12;69;DD;JJ;1
A320;C;11;12;60;DD;JJ;1
B738;C;11;15;272;DD;JJ;1
A320;C;11;12;85;II;JG;1
A321;C;11;12;56;DD;JJ;1
A321;C;11;12;78;DD;SJ;1
A319;C;11;12;66;DD;JJ;1
E190;C;11;11;34;DD;JJ;1
B737;C;11;12;45;DI;JJ;1
A321;C;11;13;101;DD;JJ;1
A320;C;11;12;45;DD;JJ;1
A318;C;11;12;52;DD;JJ;1
B738;C;11;12;60;DD;JJ;1
B738;C;11;12;52;ID;JJ;1
B738;C;11;12;41;DI;JJ;1
A320;C;11;13;106;DD;JJ;1
AT72;C;11;12;33;DD;JJ;1
A321;C;11;15;208;DD;JG;1
E190;C;11;12;55;DD;JJ;1
B738;C;11;12;63;DI;JJ;1
A320;C;11;13;68;DD;JJ;1
A320;C;11;12;55;DD;JJ;1
B788;E;12;16;259;II;JJ;1
A320;C;12;12;51;DD;JJ;1
B738;C;12;14;127;DD;JJ;1
B737;C;12;13;71;DD;JJ;1
A320;C;12;13;55;DD;JJ;1
A320;C;12;13;45;DD;JJ;1
A321;C;12;13;55;DD;JJ;1
B738;C;12;13;59;DD;JJ;1
B738;C;12;13;77;DD;JJ;1
E190;C;12;16;249;DD;JJ;1
AT72;C;12;13;85;DD;JJ;1
B738;C;12;14;84;DD;JJ;1
E190;C;12;13;47;DD;JJ;1
A320;C;12;13;51;DD;JJ;1
B738;C;13;13;50;DD;JJ;1
A320;C;13;15;137;DD;JJ;1
E190;C;13;13;39;DD;JJ;1
A321;C;13;16;186;DD;JJ;1
B77W;E;13;15;171;II;JJ;1
A320;C;13;16;182;DD;JJ;1
E190;C;13;14;95;DD;JJ;1
B738;C;13;13;41;DD;JJ;1
B737;C;13;14;77;DD;JJ;1
B738;C;13;14;42;DD;JJ;1
E190;C;13;14;66;DD;JJ;1
A320;C;13;14;63;DD;JJ;1
B738;C;13;14;42;DD;JJ;1
A320;C;13;15;122;DD;JJ;1
F100;C;13;14;41;DD;JJ;1
A320;C;13;14;81;DD;JG;1
A320;C;13;15;104;DD;JJ;1
B738;C;13;14;41;DD;JJ;1
A320;C;13;14;66;DD;JJ;1
E190;C;13;14;68;DD;GJ;1
A318;C;13;15;85;DD;JJ;1
A320;C;13;16;139;DD;JJ;1
B738;C;13;14;50;DD;JJ;1
A320;C;13;17;212;II;JJ;1
AT72;C;13;14;30;DD;JJ;1
B737;C;14;15;65;DD;JJ;1
B738;C;14;15;69;DD;JG;1
B737;C;14;14;38;DD;JJ;1
B737;C;14;15;78;II;JJ;1
E190;C;14;15;41;DD;JJ;1
A318;C;14;15;49;DD;JJ;1
E190;C;14;15;67;DD;JJ;1
A320;C;14;15;51;DD;JJ;1
A320;C;14;15;89;DD;JJ;1
B738;C;14;16;90;ID;JJ;1
A321;C;14;15;58;DD;GJ;1
B738;C;14;15;70;DD;JJ;1
A320;C;14;16;131;DD;JJ;1
A320;C;14;16;126;DD;JJ;1
B737;C;14;16;117;DD;JJ;1
B738;C;14;15;60;DD;JJ;1
B788;E;14;2;694;II;JJ;3
B738;C;14;16;98;DD;JJ;1
A321;C;15;17;169;DD;JJ;1
B738;C;15;15;51;DD;JJ;1
A319;C;15;15;53;DD;JJ;1
B738;C;15;16;79;DD;JJ;1
B738;C;15;17;115;DD;JJ;1
B763;D;15;19;253;II;JJ;3
AT72;C;15;15;23;DD;JJ;1
A321;C;15;16;68;DD;JJ;1
B738;C;15;16;35;DD;JJ;1
E190;C;15;16;30;DD;JJ;1
A321;C;15;17;105;DD;JJ;1
AT72;C;15;16;30;DD;JJ;1
B738;C;15;17;69;DD;JJ;1
B738;C;15;16;66;DD;JJ;1
A320;C;15;17;76;DD;JJ;1
A319;C;15;17;89;II;JJ;1
B77W;E;15;17;108;II;JJ;1
B737;C;16;17;85;DD;JJ;1
A320;C;16;16;36;DD;JJ;1
B738;C;16;18;169;DD;JJ;1
A320;C;16;17;77;DD;JJ;1
A320;C;16;18;124;II;GJ;1
B773;E;16;0;470;II;JJ;3
A320;C;16;17;44;DD;JJ;1
B77L;E;16;17;93;II;JJ;1
B738;C;16;17;45;ID;JJ;1
A320;C;16;17;64;DD;JJ;1
A318;C;16;17;58;DD;JJ;1
E190;C;16;17;54;DD;JJ;1
A321;C;16;17;67;DD;JJ;1
E190;C;16;17;57;DD;JJ;1
A320;C;16;17;66;DD;JJ;1
B77W;E;16;19;146;II;JJ;1
B738;C;16;18;108;DD;JG;1
B77W;E;16;18;104;II;JJ;1
A320;C;17;17;44;DD;JJ;1
B772;E;17;19;123;II;JJ;1
A320;C;17;18;74;DD;JJ;1
A320;C;17;22;348;ID;GJ;2
B737;C;17;17;39;DD;JJ;1
B737;C;17;18;57;DD;JJ;1
A321;C;17;18;57;DD;JJ;1
A332;E;17;19;94;II;JJ;1
A320;C;17;18;82;II;JJ;1
AT72;C;17;18;81;DD;JJ;1
E190;C;17;18;71;DD;JJ;1
B738;C;17;18;55;DD;JJ;1
B738;C;17;19;70;II;JJ;1
AT72;C;17;18;44;DD;JJ;1
E190;C;17;18;32;DD;JJ;1
AT72;C;17;18;32;DD;JJ;1
A320;C;17;22;280;II;JJ;2
E190;C;18;18;51;DD;JJ;1
B738;C;18;19;54;ID;JJ;1
B738;C;18;19;75;ID;JJ;1
A321;C;18;19;57;DD;JJ;1
B737;C;18;19;52;DD;JJ;1
A321;C;18;20;109;DD;JJ;1
B737;C;18;19;32;DD;JJ;1
B738;C;18;19;54;DD;JJ;1
A321;C;18;19;76;DD;JJ;1
A320;C;18;19;54;DD;JJ;1
A318;C;18;19;62;DD;JJ;1
A321;C;18;20;93;DD;JJ;1
B737;C;18;19;65;ID;JJ;1
A320;C;18;19;47;DD;JJ;1
E190;C;18;19;61;DD;JJ;1
A320;C;18;21;125;ID;JG;1
A321;C;18;20;76;DD;JJ;1
A320;C;18;19;45;DD;JJ;1
B738;C;19;19;52;DD;JJ;1
B763;D;19;20;114;II;JJ;1
B738;C;19;19;46;DD;JJ;1
B738;C;19;20;68;ID;JJ;1
E190;C;19;19;37;DD;JJ;1
B77W;E;19;23;237;II;JJ;1
A319;C;19;19;39;DD;JJ;1
E190;C;19;19;39;DD;JJ;1
B738;C;19;20;56;DD;JJ;1
B738;C;19;20;62;II;JJ;1
A320;C;19;20;78;II;GJ;1
A320;C;19;20;69;DD;JJ;1
AT72;C;19;20;32;DD;JJ;1
B738;C;19;22;152;DD;JG;1
B738;C;19;20;61;DD;JJ;1
B738;C;19;20;49;DD;JJ;1
B738;C;19;20;80;DI;JJ;1
B738;C;19;20;79;DD;JJ;1
A320;C;19;22;175;DD;GJ;1
B738;C;19;20;73;II;JJ;1
B737;C;19;21;112;DD;JJ;1
A321;C;19;23;194;DD;JJ;1
A332;E;19;22;178;II;JJ;1
B738;C;19;20;59;DD;JJ;1
B738;C;19;20;39;DD;JJ;1
B76W;D;20;0;260;II;JJ;2
A321;C;20;22;129;DD;JJ;1
A320;C;20;22;154;DD;JJ;1
A320;C;20;22;150;II;JJ;1
A320;C;20;23;180;DD;JJ;1
B738;C;20;21;52;DD;JG;1
E190;C;20;21;41;DD;JJ;1
B738;C;20;21;62;DD;JJ;1
E190;C;20;21;44;DD;JJ;1
B737;C;20;22;101;DD;JJ;1
E190;C;20;21;74;DD;JJ;1
A320;C;20;21;57;II;JJ;1
B76W;D;20;23;146;II;JJ;1
B738;C;20;1;309;II;JJ;1
B737;C;20;22;104;DD;JJ;1
B738;C;20;22;83;DD;JJ;1
A320;C;20;0;214;DD;JJ;1
A320;C;20;21;44;DD;JJ;1
A321;C;20;22;98;DD;JJ;1
A320;C;21;22;108;DD;JJ;1
A320;C;21;22;73;DD;JG;1
A320;C;21;22;77;DD;JJ;1
A320;C;21;22;109;DD;JJ;1
A321;C;21;23;137;DD;JJ;1
B738;C;21;22;73;DI;JJ;1
B737;C;21;22;68;DD;JJ;1
A321;C;21;23;125;DD;JJ;1
A332;E;21;22;88;II;JJ;1
E190;C;21;22;57;DD;JJ;1
A321;C;21;7;621;DD;JJ;1
A320;C;21;22;49;DD;JJ;1
A320;C;21;9;710;DD;JJ;2
E190;C;21;23;132;DD;JJ;1
A320;C;21;7;600;II;JJ;2
A320;C;21;23;105;DD;JJ;1
B738;C;21;23;83;DD;GJ;1
B77W;E;21;23;132;II;JJ;1
A321;C;21;8;635;DD;JJ;1
B76W;D;21;9;2150;DD;JJ;2
AT72;C;21;23;73;DD;JJ;1
B738;C;21;22;57;DD;JJ;1
B737;C;21;22;44;DD;JG;1
B738;C;21;22;50;DD;JJ;1
B738;C;22;23;112;DD;JG;1
E190;C;22;23;72;DD;JJ;1
A320;C;22;19;1265;ID;JJ;2
A320;C;22;22;32;DD;JJ;1
B737;C;22;23;92;DD;JJ;1
B738;C;22;23;77;DD;JJ;1
AT72;C;22;23;55;DD;JJ;1
B737;C;22;5;426;II;JJ;3
B738;C;22;23;69;DD;JJ;1
B738;C;22;1;171;DD;SG;1
A320;C;22;23;51;DD;JJ;1
A320;C;22;9;632;II;JJ;3
B738;C;22;23;57;DD;JJ;1
A321;C;22;23;61;DD;JJ;1
AT72;C;22;23;41;DD;JJ;1
E190;C;22;6;466;DD;JJ;1
B737;C;23;6;419;DD;JJ;1
A318;C;23;5;355;DD;JJ;1
A319;C;23;23;52;DD;JJ;1
E190;C;23;0;80;DD;JJ;1
E190;C;23;7;480;DD;JJ;1
B737;C;23;0;67;DD;JJ;1
A320;C;23;7;513;DD;JJ;1
A321;C;23;6;443;DD;JJ;2
A321;C;23;6;441;DD;JJ;2
A321;C;23;0;53;DD;JJ;1
B738;C;23;7;469;DD;JJ;1
A320;C;23;7;466;DD;JJ;1
B738;C;23;0;53;DD;JJ;1
B738;C;23;1;115;DI;JJ;1
B738;C;23;0;45;DD;GJ;1
A320;C;23;6;389;DD;JJ;1
B738;C;23;6;430;DD;JJ;2
AT72;C;23;8;545;DD;JJ;1
A319;C;23;1;93;II;JJ;1
B738;C;23;0;50;DD;JG;1
A320;C;23;2;177;DD;JG;1
E190;C;23;3;206;DD;GS;1
E190;C;0;6;369;DD;JJ;1
A320;C;0;6;369;DD;JJ;2
B738;C;0;1;46;DD;GG;1
A320;C;0;8;436;II;JJ;1
B738;C;0;3;160;II;JJ;1
E190;C;0;6;329;DD;JJ;1
A332;E;1;5;1710;ID;AF;1
B738;C;1;7;397;DD;GJ;2
A318;C;1;6;289;DD;JJ;1
B738;C;1;7;352;DD;GS;2
B77L;E;1;2;73;II;JJ;1
B77W;E;1;3;90;II;JJ;1
B738;C;1;2;37;ID;JG;1
A321;C;1;7;328;DD;JJ;1
B737;C;1;6;267;DD;SG;1
A320;C;2;6;277;DD;GJ;1
A320;C;2;5;198;DD;GJ;1
B772;E;2;6;208;II;FF;1
B738;C;3;5;128;II;JJ;1
A321;C;3;15;748;DD;JJ;2
B763;D;4;5;95;II;JJ;1
A332;E;4;1;1245;II;JJ;3
B77W;E;4;7;199;II;JJ;1
B748;F;4;18;854;II;JJ;3
A332;E;4;5;77;II;JJ;1
B738;C;4;10;348;II;JJ;3
A320;C;4;7;172;II;JJ;1
B738;C;4;6;63;DD;JJ;1
B77W;E;4;23;1137;II;JJ;3
B738;C;5;5;50;DD;JJ;1
B738;C;5;6;113;DD;GJ;1
A332;E;5;3;1314;II;JJ;3
B77W;E;5;3;1324;II;JJ;3
B772;E;5;15;594;II;JJ;3
E190;C;5;6;82;DD;JJ;1
B744;E;5;16;650;II;JJ;3
B76W;D;5;8;166;II;JJ;1
B76W;D;5;14;562;II;JJ;3
B738;C;5;6;72;DD;JJ;1
B738;C;5;6;82;DD;JJ;1
A332;E;5;15;621;II;JJ;3
A346;E;5;17;741;II;JJ;3
B738;C;5;6;59;DD;GJ;1
A320;C;5;9;208;DD;GJ;1
A332;E;5;14;526;II;JJ;3
E190;C;5;6;60;DD;JJ;1
B738;C;5;8;145;DI;JJ;1
A332;E;5;8;157;II;JJ;1
B738;C;5;12;373;II;JJ;3
A332;E;5;8;1589;II;JJ;3
B76W;D;6;0;1102;II;JJ;3
B77W;E;6;1;1167;II;JJ;3
B738;C;6;8;114;DD;JJ;1
B77W;E;6;15;567;II;JJ;3
A321;C;6;9;222;DD;JJ;1
A321;C;6;9;171;DD;JJ;1
A321;C;6;8;133;DD;JJ;1
B738;C;6;7;96;DD;JJ;1
A321;C;6;8;109;DD;JJ;1
A320;C;6;12;386;DD;JJ;2
B76W;D;6;10;240;II;JJ;1
